"lfdn";"external_lfdn";"tester";"dispcode";"lastpage";"quality";"duration";"c_0001";"Studienteilnahme";"Trust_Car_1";"Trust_Car_2";"Trust_Car_3";"car_check";"Manip_Check_1";"Manip_Check_2";"Manip_Check_3";"car_comp1";"car_comp2";"car_comp3";"car_comp4";"car_comp5";"car_consc1";"car_consc2";"car_consc3";"car_consc4";"car_consc5";"car_consc6";"driv_comp1";"driv_comp2";"driv_comp3";"driv_comp4";"driv_comp5";"driv_consc1";"driv_consc2";"driv_consc3";"driv_consc4";"Resp_Bic";"Resp_Car";"Resp_Driver";"Resp_Producer";"Sex";"Age";"Car_Owner";"km_year";"Education";"Occupation";"Occupation_Sonst";"Income";"Quality_1";"Quality_2";"Quality_3";"Quality_4";"Quality_5";"Quality_6";"ext_host";"ip_addr";"browser";"referer";"device_type";"participant_browser";"participant_browser_version";"participant_os";"participant_device";"participant_brand";"participant_model";"participant_isbot";"participant_continent";"participant_country";"participant_region";"participant_city";"participant_latitude";"participant_longitude";"quota";"quota_assignment";"page_history";"hflip";"vflip";"output_mode";"javascript";"flash";"session_id";"language";"cleaned";"ats";"datetime";"date_of_last_access";"date_of_first_mail"
"97";"0";"0";"31";"3884111";"-77";"473";"1";"1";"3";"3";"4";"7";"2";"4";"5";"5";"5";"5";"5";"5";"5";"5";"3";"5";"3";"3";"4";"3";"4";"4";"4";"2";"4";"2";"4";"1";"5";"7";"5";"2";"24";"2";"700";"5";"7";"-99";"1";"5";"2";"7";"7";"1";"7";"-99";"-99";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/18.17763";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3884104,3884105,3884106,3884107,3884108,3884109,3884110,3884111";"0";"1";"0";"-77";"-77";"ed69aa3060f34076cad9d6a9bc047533";"1";"0";"1572704255";"2019-11-02 14:17:35";"2019-11-02 14:25:28";"0000-00-00 00:00:00"
"98";"0";"0";"31";"3884111";"-77";"702";"2";"1";"1";"3";"4";"4";"6";"6";"2";"2";"2";"2";"2";"5";"3";"3";"3";"3";"3";"3";"3";"5";"5";"5";"5";"4";"4";"4";"4";"1";"7";"6";"6";"1";"55";"1";"20000";"5";"3";"-99";"4";"7";"1";"7";"7";"1";"7";"-99";"-99";"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.87 Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3884104,3884105,3884106,3884107,3884108,3884109,3884110,3884111";"1";"1";"0";"-77";"-77";"89339cc35a12df55d36c3ade95ba3619";"1";"0";"1572723073";"2019-11-02 19:31:13";"2019-11-02 19:42:55";"0000-00-00 00:00:00"
"100";"0";"0";"31";"3884111";"-77";"419";"6";"1";"1";"1";"1";"9";"1";"1";"5";"3";"3";"3";"3";"3";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"7";"1";"7";"1";"58";"1";"30000";"3";"3";"-99";"5";"7";"1";"7";"7";"1";"7";"-99";"-99";"Mozilla/5.0 (Linux; Android 5.1.1; KFFOWI) AppleWebKit/537.36 (KHTML, like Gecko) Silk/76.3.6 like Chrome/76.0.3809.132 Safari/537.36";"https://webmail.unity-mail.de/appsuite/signin";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3884104,3884105,3884106,3884107,3884108,3884108,3884108,3884109,3884110,3884111";"0";"0";"0";"-77";"-77";"4a5648c3d6f0014fafafb283124329b4";"1";"0";"1572780565";"2019-11-03 11:29:25";"2019-11-03 11:36:24";"0000-00-00 00:00:00"
"101";"0";"0";"31";"3884111";"-77";"537";"4";"1";"4";"2";"4";"10";"5";"5";"5";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"2";"6";"4";"4";"1";"53";"1";"60000";"4";"6";"-99";"5";"7";"2";"6";"7";"1";"7";"-99";"-99";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.87 Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3884104,3884105,3884106,3884107,3884108,3884108,3884108,3884109,3884110,3884111";"0";"1";"0";"-77";"-77";"bdc9b059ad6ec9fe1f977216570a7ec9";"1";"0";"1572799611";"2019-11-03 16:46:51";"2019-11-03 16:55:48";"0000-00-00 00:00:00"
"102";"0";"0";"31";"3884111";"-77";"2686";"3";"1";"1";"6";"5";"7";"2";"5";"4";"6";"5";"4";"5";"5";"5";"5";"5";"5";"5";"5";"4";"4";"4";"4";"4";"6";"6";"6";"6";"2";"1";"2";"7";"1";"55";"1";"25000";"3";"2";"-99";"5";"7";"1";"7";"7";"1";"7";"-99";"-99";"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Safari/605.1.15";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3884104,3884105,3884106,3884107,3884108,3884109,3884110,3884111";"0";"0";"0";"-77";"-77";"1976201371a05a541bf3d5c23f029cd5";"1";"0";"1572799867";"2019-11-03 16:51:07";"2019-11-03 17:35:53";"0000-00-00 00:00:00"
"103";"0";"0";"31";"3884111";"-77";"288";"1";"1";"1";"7";"5";"9";"1";"5";"2";"4";"1";"3";"3";"3";"1";"1";"1";"1";"1";"1";"3";"3";"2";"2";"2";"1";"4";"1";"3";"7";"1";"7";"1";"1";"37";"1";"60000";"4";"7";"-99";"3";"1";"4";"7";"7";"1";"7";"-99";"-99";"Mozilla/5.0 (iPhone; CPU iPhone OS 13_1_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.1 Mobile/15E148 Safari/604.1";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3884104,3884105,3884106,3884107,3884108,3884109,3884110,3884111";"1";"1";"0";"-77";"-77";"c6829c30fdaa3e81997b0311003c58cb";"1";"0";"1572804047";"2019-11-03 18:00:47";"2019-11-03 18:05:35";"0000-00-00 00:00:00"
"104";"0";"0";"31";"3884111";"-77";"387";"2";"1";"1";"7";"5";"6";"5";"5";"1";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"3";"3";"3";"3";"3";"6";"6";"6";"6";"3";"6";"4";"7";"1";"49";"1";"15000";"4";"2";"-99";"5";"7";"1";"7";"7";"1";"7";"-99";"-99";"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3884104,3884105,3884106,3884107,3884108,3884109,3884110,3884111";"0";"1";"0";"-77";"-77";"280926dd1327480006753b7e7de85b00";"1";"0";"1572813970";"2019-11-03 20:46:10";"2019-11-03 20:52:37";"0000-00-00 00:00:00"
"105";"0";"0";"31";"3884111";"-77";"833";"3";"1";"5";"5";"2";"9";"1";"5";"1";"6";"6";"6";"6";"6";"7";"7";"7";"7";"7";"7";"7";"7";"7";"7";"7";"7";"7";"7";"7";"6";"5";"6";"5";"2";"57";"1";"22000";"3";"5";"-99";"3";"7";"1";"7";"7";"1";"7";"-99";"-99";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3884104,3884105,3884106,3884107,3884108,3884108,3884108,3884109,3884110,3884111";"0";"0";"0";"-77";"-77";"5a7dee82cf3b65220761b04b7d24022f";"1";"0";"1572852126";"2019-11-04 07:22:06";"2019-11-04 07:35:59";"0000-00-00 00:00:00"
"106";"0";"0";"31";"3884111";"-77";"860";"5";"1";"4";"3";"1";"9";"5";"6";"1";"6";"6";"6";"6";"6";"6";"6";"6";"6";"6";"6";"6";"6";"6";"6";"6";"6";"6";"6";"6";"2";"1";"7";"5";"2";"72";"1";"15000";"3";"4";"-99";"2";"4";"1";"7";"7";"1";"7";"-99";"-99";"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36";"https://email.t-online.de/em/html/mailreadview/getmsg?m=11598600753888410&f=INBOX&pmtpt=html%2Cplain&mtpp=html&ec=1";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3884104,3884105,3884106,3884107,3884108,3884109,3884110,3884111";"0";"1";"0";"-77";"-77";"24a31bcc220fe06b364ea41534a11a12";"1";"0";"1572855837";"2019-11-04 08:23:57";"2019-11-04 08:38:17";"0000-00-00 00:00:00"
"107";"0";"0";"31";"3884111";"-77";"472";"4";"1";"3";"4";"1";"7";"4";"6";"3";"4";"4";"4";"5";"5";"4";"4";"6";"6";"4";"4";"6";"5";"5";"4";"5";"5";"5";"5";"5";"1";"1";"7";"7";"1";"73";"1";"25000";"4";"6";"-99";"2";"7";"1";"7";"7";"1";"7";"-99";"-99";"Mozilla/5.0 (Windows NT 6.1; rv:70.0) Gecko/20100101 Firefox/70.0";"https://deref-gmx.net/mail/client/z1-jzan9yGI/dereferrer/?redirectUrl=https%3A%2F%2Fww2.unipark.de%2Fuc%2Fcarfac2%2F";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3884104,3884105,3884106,3884107,3884108,3884109,3884110,3884111";"0";"0";"0";"-77";"-77";"a19b1beea2aa92674d49eb474156953a";"1";"0";"1572856930";"2019-11-04 08:42:10";"2019-11-04 08:50:02";"0000-00-00 00:00:00"
"108";"0";"0";"31";"3884111";"-77";"595";"6";"1";"3";"2";"3";"11";"2";"6";"2";"7";"7";"7";"7";"7";"4";"3";"4";"4";"1";"2";"6";"6";"5";"5";"5";"7";"5";"6";"7";"2";"7";"4";"7";"1";"28";"1";"30000";"5";"2";"-99";"1";"4";"5";"5";"3";"1";"6";"-99";"-99";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/18.17763";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3884104,3884105,3884106,3884107,3884108,3884109,3884110,3884111";"0";"0";"0";"-77";"-77";"619da98f5c619371cd6b2d8bbaa95e25";"1";"0";"1572865795";"2019-11-04 11:09:55";"2019-11-04 11:19:50";"0000-00-00 00:00:00"
"109";"0";"0";"31";"3884111";"-77";"513";"1";"1";"3";"4";"3";"8";"1";"7";"1";"5";"5";"6";"6";"6";"6";"6";"6";"6";"6";"6";"6";"6";"6";"6";"6";"6";"6";"6";"6";"1";"7";"7";"7";"2";"35";"1";"10000";"4";"6";"-99";"3";"6";"4";"7";"7";"1";"7";"-99";"-99";"Mozilla/5.0 (iPhone; CPU iPhone OS 12_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Mobile/15E148 Safari/604.1";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3884104,3884105,3884105,3884106,3884107,3884108,3884109,3884110,3884111";"1";"1";"0";"-77";"-77";"bc9921ba5f8bdc52935963c0efa224e0";"1";"0";"1572874757";"2019-11-04 13:39:17";"2019-11-04 13:47:50";"0000-00-00 00:00:00"
"112";"0";"0";"31";"3884111";"-77";"356";"2";"1";"1";"1";"4";"4";"6";"5";"1";"6";"6";"3";"5";"2";"5";"5";"4";"4";"5";"4";"6";"6";"6";"6";"4";"5";"4";"6";"6";"3";"6";"6";"2";"1";"36";"1";"15000";"4";"6";"-99";"4";"6";"1";"5";"6";"1";"5";"-99";"-99";"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:70.0) Gecko/20100101 Firefox/70.0";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3884104,3884105,3884106,3884107,3884108,3884109,3884110,3884111";"1";"0";"0";"-77";"-77";"d9e176f917a16802f5551a34103db482";"1";"0";"1572875348";"2019-11-04 13:49:08";"2019-11-04 13:55:04";"0000-00-00 00:00:00"
"113";"0";"0";"31";"3884111";"-77";"905";"3";"1";"4";"4";"4";"9";"2";"5";"2";"6";"6";"6";"6";"7";"4";"4";"4";"4";"4";"4";"6";"6";"6";"5";"3";"5";"6";"4";"6";"1";"6";"7";"6";"1";"32";"1";"10000";"5";"2";"-99";"3";"4";"3";"7";"7";"1";"7";"-99";"-99";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.120 Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3884104,3884105,3884106,3884107,3884108,3884109,3884110,3884111";"1";"1";"0";"-77";"-77";"7f05a47ddbf9974ee4a6a70e39da9285";"1";"0";"1572875617";"2019-11-04 13:53:37";"2019-11-04 14:08:42";"0000-00-00 00:00:00"
"116";"0";"0";"31";"3884111";"-77";"375";"4";"1";"2";"3";"4";"6";"2";"6";"4";"7";"7";"6";"6";"6";"6";"6";"6";"6";"6";"6";"5";"5";"5";"5";"5";"5";"5";"5";"5";"3";"7";"4";"7";"1";"29";"1";"8000";"4";"3";"-99";"3";"7";"1";"7";"7";"1";"7";"-99";"-99";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36 OPR/63.0.3368.107";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3884104,3884105,3884106,3884107,3884108,3884109,3884110,3884111";"1";"1";"0";"-77";"-77";"2e747667a336e32f6b8956174ad26d6b";"1";"0";"1572875784";"2019-11-04 13:56:24";"2019-11-04 14:02:39";"0000-00-00 00:00:00"
"118";"0";"0";"31";"3884111";"-77";"298";"3";"1";"3";"5";"5";"4";"3";"5";"2";"7";"4";"5";"5";"5";"4";"3";"3";"3";"5";"5";"5";"5";"5";"5";"5";"3";"3";"4";"4";"3";"5";"5";"4";"2";"28";"1";"1500";"5";"7";"-99";"3";"7";"3";"7";"7";"1";"6";"-99";"-99";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3884104,3884105,3884106,3884107,3884108,3884109,3884110,3884111";"1";"1";"0";"-77";"-77";"49ec70620ebdf436764290f8e41ba28a";"1";"0";"1572877978";"2019-11-04 14:32:58";"2019-11-04 14:37:56";"0000-00-00 00:00:00"
"120";"0";"0";"31";"3884111";"-77";"374";"1";"1";"5";"4";"4";"9";"1";"3";"5";"6";"6";"6";"6";"6";"3";"2";"3";"3";"3";"3";"6";"5";"6";"6";"6";"3";"3";"3";"3";"2";"6";"7";"6";"2";"24";"1";"5000";"5";"7";"-99";"1";"7";"2";"7";"7";"1";"7";"-99";"-99";"Mozilla/5.0 (Linux; Android 9; ANE-LX1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.62 Mobile Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3884104,3884105,3884106,3884107,3884108,3884109,3884110,3884111";"1";"0";"0";"-77";"-77";"189ffe9837e209396828f893d5281cda";"1";"0";"1572883128";"2019-11-04 15:58:48";"2019-11-04 16:05:02";"0000-00-00 00:00:00"
"121";"0";"0";"31";"3884111";"-77";"565";"4";"1";"4";"4";"3";"6";"2";"7";"1";"4";"4";"4";"5";"5";"5";"5";"4";"4";"4";"4";"6";"5";"5";"5";"5";"4";"6";"4";"4";"1";"7";"7";"7";"2";"32";"1";"5000";"4";"3";"-99";"2";"7";"1";"7";"7";"1";"7";"-99";"-99";"Mozilla/5.0 (iPhone; CPU iPhone OS 13_1_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.1 Mobile/15E148 Safari/604.1";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3884104,3884105,3884106,3884107,3884108,3884109,3884110,3884110,3884110,3884111";"1";"0";"0";"-77";"-77";"56df8d2001d72600c9720865bbee63c6";"1";"0";"1572883829";"2019-11-04 16:10:29";"2019-11-04 16:19:54";"0000-00-00 00:00:00"
"122";"0";"0";"31";"3884111";"-77";"1193";"5";"1";"1";"2";"5";"11";"1";"7";"1";"7";"7";"7";"7";"7";"1";"7";"7";"7";"7";"7";"6";"7";"7";"7";"7";"7";"7";"4";"5";"2";"6";"1";"7";"2";"52";"1";"5000";"3";"4";"-99";"2";"1";"4";"7";"7";"1";"7";"-99";"-99";"Mozilla/5.0 (Linux; Android 7.0; SAMSUNG SM-G928F) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/10.1 Chrome/71.0.3578.99 Mobile Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3884104,3884105,3884106,3884107,3884107,3884108,3884109,3884110,3884111";"0";"1";"0";"-77";"-77";"81f759aa872711929151931736774c4f";"1";"0";"1572883846";"2019-11-04 16:10:46";"2019-11-04 16:30:39";"0000-00-00 00:00:00"
"123";"0";"0";"31";"3884111";"-77";"689";"6";"1";"2";"5";"5";"10";"2";"1";"3";"7";"5";"6";"6";"6";"4";"5";"4";"4";"5";"2";"4";"3";"4";"2";"3";"7";"7";"2";"2";"1";"7";"7";"4";"1";"26";"1";"20000";"3";"2";"-99";"3";"3";"1";"7";"7";"1";"7";"-99";"-99";"Mozilla/5.0 (iPhone; CPU iPhone OS 13_1_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.1 Mobile/15E148 Safari/604.1";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3884104,3884105,3884106,3884107,3884107,3884108,3884109,3884110,3884111";"1";"0";"0";"-77";"-77";"38948e13110ae88ad04ad2a2627b8ff2";"1";"0";"1572885744";"2019-11-04 16:42:24";"2019-11-04 16:53:53";"0000-00-00 00:00:00"
"124";"0";"0";"31";"3884111";"-77";"289";"2";"1";"4";"6";"5";"8";"7";"2";"1";"4";"4";"4";"2";"4";"7";"4";"3";"4";"5";"6";"5";"6";"6";"4";"3";"5";"4";"3";"5";"5";"4";"5";"4";"1";"27";"1";"15000";"4";"6";"-99";"2";"6";"4";"5";"5";"1";"4";"-99";"-99";"Mozilla/5.0 (iPhone; CPU iPhone OS 13_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.1 Mobile/15E148 Safari/604.1";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3884104,3884105,3884106,3884107,3884108,3884109,3884110,3884111";"1";"1";"0";"-77";"-77";"de559b609b5f5b90d49bd3dc0ae5f51f";"1";"0";"1572889751";"2019-11-04 17:49:11";"2019-11-04 17:54:01";"0000-00-00 00:00:00"
"127";"0";"0";"31";"3884111";"-77";"605";"4";"1";"1";"1";"1";"11";"1";"7";"7";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"7";"1";"55";"1";"80000";"3";"5";"-99";"3";"7";"1";"7";"7";"1";"7";"-99";"-99";"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:70.0) Gecko/20100101 Firefox/70.0";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3884104,3884105,3884106,3884107,3884108,3884109,3884109,3884109,3884110,3884111";"1";"1";"0";"-77";"-77";"06887e7a23f53327ee846c377d80c8f5";"1";"0";"1572899180";"2019-11-04 20:26:20";"2019-11-04 20:36:25";"0000-00-00 00:00:00"
"135";"0";"0";"31";"3884111";"-77";"954";"4";"1";"2";"2";"2";"10";"1";"4";"7";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"2";"2";"2";"2";"2";"1";"1";"1";"1";"1";"1";"7";"7";"2";"57";"2";"8000";"5";"7";"-99";"5";"3";"4";"6";"5";"1";"7";"-99";"-99";"Mozilla/5.0 (Windows NT 6.1; rv:70.0) Gecko/20100101 Firefox/70.0";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3884104,3884105,3884106,3884107,3884108,3884109,3884109,3884109,3884110,3884111";"1";"1";"0";"-77";"-77";"d28a18dbb3b4e827c887bb4c37d8ed09";"1";"0";"1572902471";"2019-11-04 21:21:11";"2019-11-04 21:37:05";"0000-00-00 00:00:00"
"138";"0";"0";"31";"3884111";"-77";"1035";"5";"1";"2";"2";"1";"10";"6";"4";"1";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"6";"5";"5";"6";"2";"4";"6";"6";"1";"41";"1";"30000";"5";"7";"-99";"5";"4";"1";"7";"6";"1";"7";"-99";"-99";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.87 Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3884104,3884105,3884106,3884107,3884108,3884109,3884110,3884111";"1";"1";"0";"-77";"-77";"c422c0fd81e09cae9ae108e0eb20e1ef";"1";"0";"1572941787";"2019-11-05 08:16:27";"2019-11-05 08:33:42";"0000-00-00 00:00:00"
"140";"0";"0";"31";"3884111";"-77";"442";"6";"1";"2";"2";"2";"11";"2";"2";"4";"4";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"5";"5";"5";"5";"5";"4";"4";"4";"4";"2";"6";"6";"6";"2";"24";"1";"3000";"5";"7";"-99";"1";"7";"2";"7";"7";"1";"7";"-99";"-99";"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3884104,3884105,3884106,3884107,3884108,3884109,3884110,3884111";"0";"1";"0";"-77";"-77";"08dfad9af690449addd216577ab8b009";"1";"0";"1572946932";"2019-11-05 09:42:12";"2019-11-05 09:49:34";"0000-00-00 00:00:00"
"142";"0";"0";"31";"3884111";"-77";"689";"2";"1";"3";"2";"2";"2";"5";"6";"2";"2";"6";"5";"3";"2";"6";"6";"5";"5";"4";"4";"6";"6";"5";"4";"3";"5";"5";"4";"3";"2";"7";"6";"6";"1";"67";"1";"20000";"2";"2";"-99";"3";"7";"2";"6";"6";"1";"4";"-99";"-99";"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3884104,3884105,3884106,3884107,3884108,3884109,3884110,3884111";"0";"1";"0";"-77";"-77";"6052b2faeb2793713d1409085f619ec8";"1";"0";"1572960096";"2019-11-05 13:21:36";"2019-11-05 13:33:05";"0000-00-00 00:00:00"
"143";"0";"0";"31";"3884111";"-77";"616";"1";"1";"2";"1";"3";"3";"3";"5";"2";"4";"3";"4";"4";"3";"5";"5";"4";"4";"5";"5";"5";"4";"5";"5";"4";"5";"5";"6";"5";"7";"1";"7";"1";"1";"30";"1";"20000";"3";"3";"-99";"4";"6";"2";"7";"7";"1";"7";"-99";"-99";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.87 Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3884104,3884105,3884106,3884107,3884108,3884109,3884110,3884111";"1";"1";"0";"-77";"-77";"b723ce664e28495e201c29eb36580918";"1";"0";"1572962096";"2019-11-05 13:54:56";"2019-11-05 14:05:12";"0000-00-00 00:00:00"
"144";"0";"0";"31";"3884111";"-77";"647";"3";"1";"1";"4";"3";"3";"2";"3";"6";"4";"3";"5";"5";"5";"1";"1";"1";"1";"1";"1";"4";"4";"4";"4";"4";"2";"6";"2";"6";"1";"1";"7";"1";"1";"55";"1";"25000";"2";"2";"-99";"4";"7";"1";"7";"7";"1";"7";"-99";"-99";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.87 Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3884104,3884105,3884106,3884107,3884108,3884109,3884110,3884111";"0";"1";"0";"-77";"-77";"6ce5db3037730a24475d84e6f1780e99";"1";"0";"1572962150";"2019-11-05 13:55:50";"2019-11-05 14:06:37";"0000-00-00 00:00:00"
"146";"0";"0";"31";"3884111";"-77";"7832";"5";"1";"4";"5";"5";"10";"3";"5";"1";"6";"6";"6";"6";"6";"4";"4";"4";"4";"4";"4";"6";"6";"6";"6";"6";"6";"6";"6";"6";"4";"4";"4";"4";"2";"55";"1";"2000";"3";"2";"-99";"2";"7";"1";"7";"7";"1";"7";"-99";"-99";"Mozilla/5.0 (Android 7.0; Tablet; rv:68.0) Gecko/68.0 Firefox/68.0";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3884104,3884105,3884106,3884107,3884108,3884109,3884110,3884111";"1";"1";"0";"-77";"-77";"171487c389b4847d5cc2a942349243c3";"1";"0";"1572972663";"2019-11-05 16:51:03";"2019-11-05 19:01:35";"0000-00-00 00:00:00"
"148";"0";"0";"31";"3884111";"-77";"359";"6";"1";"2";"2";"2";"8";"1";"3";"3";"3";"3";"3";"3";"3";"4";"4";"4";"4";"4";"4";"5";"5";"5";"5";"5";"4";"4";"4";"4";"5";"4";"5";"3";"2";"50";"1";"10000";"3";"2";"-99";"3";"5";"1";"7";"7";"1";"7";"-99";"-99";"Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko";"https://deref-web-02.de/mail/client/z1-jzan9yGI/dereferrer/?redirectUrl=https%3A%2F%2Fww2.unipark.de%2Fuc%2Fcarfac2%2F";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3884104,3884105,3884106,3884107,3884108,3884109,3884110,3884111";"1";"0";"0";"-77";"-77";"222c0bf1512402caf102877d446e5375";"1";"0";"1573031522";"2019-11-06 09:12:02";"2019-11-06 09:18:01";"0000-00-00 00:00:00"
